date,Open,High,Low,Volume,RSI,MACD,MACD_Signal,Close
2012-01-04 00:00:00,18970.599609375,18970.599609375,18687.939453125,1169200000,53.010385237810546,-19.281895655080007,-74.3603928964976,18727.310546875
2012-01-05 00:00:00,18753.380859375,18821.08984375,18723.279296875,1035400000,57.39462030183411,4.215343867461343,-58.64524554370581,18813.41015625
2012-01-06 00:00:00,18784.859375,18784.859375,18506.580078125,1434100000,54.581995438218314,4.99907728834296,-45.916380977296065,18593.060546875
2012-01-09 00:00:00,18588.359375,18884.259765625,18302.83984375,1381000000,66.45460556712105,27.30681163760164,-31.271742454316524,18865.720703125
2012-01-10 00:00:00,18948.119140625,19086.529296875,18858.5703125,1994800000,64.79752607359868,55.52629974157753,-13.912134015137713,19004.279296875
2012-01-11 00:00:00,19071.900390625,19175.849609375,18983.140625,2037300000,72.90279467480921,88.78196471202318,6.626685730294467,19151.939453125
2012-01-12 00:00:00,19112.759765625,19261.2890625,19050.94921875,1791600000,71.07817334636425,109.31341594571131,27.164031773377836,19095.380859375
2012-01-13 00:00:00,19232.2109375,19232.2109375,19073.1796875,2018500000,68.06506703634945,132.8518466450878,48.30159474771983,19204.419921875
2012-01-16 00:00:00,19070.740234375,19070.740234375,18985.75,1354800000,63.5757794763953,134.44581065719103,65.53043792961408,19012.19921875
2012-01-17 00:00:00,19185.849609375,19640.279296875,19173.2890625,2590200000,68.4953945374026,183.26626289564956,89.07760292282117,19627.75
2012-01-18 00:00:00,19651.58984375,19726.83984375,19577.0703125,1947200000,72.05737667437137,224.1475082702782,116.0915839923126,19686.919921875
2012-01-19 00:00:00,19842.4609375,19956.5390625,19776.3203125,2497500000,77.75349174996228,274.04657595529716,147.68258238490952,19942.94921875
2012-01-20 00:00:00,20161.720703125,20161.720703125,19927.880859375,1966400000,78.75305507136821,323.37368456515105,182.82080282095785,20110.369140625
2012-01-26 00:00:00,20453.470703125,20453.470703125,20301.58984375,2041600000,77.88617670691696,384.5618945137212,223.16902115951055,20439.140625
2012-01-27 00:00:00,20443.4609375,20590.80078125,20384.05078125,1809700000,82.70567227798338,433.10699556871623,265.1566160413517,20501.669921875
2012-01-30 00:00:00,20518.0,20518.0,20144.94921875,2136700000,72.69375097893915,438.9822131480578,299.92173546269294,20160.41015625
2012-01-31 00:00:00,20326.490234375,20465.890625,20219.26953125,2386800000,80.18345879655018,456.93662388659504,331.3247131474734,20390.490234375
2012-02-01 00:00:00,20394.669921875,20534.220703125,20269.509765625,1499500000,76.56888202482378,461.2395464864567,357.3076798152701,20333.369140625
2012-02-02 00:00:00,20638.9609375,20761.69921875,20564.970703125,2100100000,78.63798506736191,491.7483433996058,384.1958125321372,20739.44921875
2012-02-03 00:00:00,20680.7109375,20796.740234375,20639.490234375,1663300000,77.6792167994972,511.4457815121932,409.6458063281484,20756.98046875
2012-02-06 00:00:00,21015.55078125,21015.55078125,20633.130859375,1900900000,77.93505001351717,517.2972456643693,431.1760941953926,20709.939453125
2012-02-07 00:00:00,20808.05078125,20881.849609375,20649.26953125,1519300000,76.77306552408352,515.1290509612081,447.96668554855574,20699.189453125
2012-02-08 00:00:00,20827.890625,21023.330078125,20755.73046875,1739200000,84.37021105167146,533.0288567027601,464.9791197793967,21018.4609375
2012-02-09 00:00:00,20922.2890625,21053.060546875,20787.83984375,2208100000,79.8995514118823,540.3043505478199,480.0441659330814,21010.009765625
2012-02-10 00:00:00,20986.25,21002.330078125,20703.7890625,1997900000,72.12922138559557,521.8067222506688,488.39667719659894,20783.859375
2012-02-13 00:00:00,20718.80078125,20969.80078125,20673.9609375,1515500000,70.3020628745557,509.6274452329526,492.64283080386974,20887.400390625
2012-02-14 00:00:00,20845.240234375,20947.94921875,20813.529296875,1174500000,68.4435371333331,496.7049959144206,493.4552638259799,20917.830078125
2012-02-15 00:00:00,20993.580078125,21403.279296875,20933.390625,2038800000,70.06576330289207,516.6101736672645,498.08624579423685,21365.23046875
2012-02-16 00:00:00,21266.509765625,21317.720703125,21157.55078125,1548000000,66.62215807776474,519.3020550771289,502.32940765081526,21277.279296875
2012-02-17 00:00:00,21503.58984375,21546.73046875,21381.689453125,1590300000,80.17056455575397,532.5914419500732,508.3818145106669,21491.619140625
2012-02-20 00:00:00,21760.33984375,21760.33984375,21393.48046875,1855300000,75.31461558244635,531.6027622770234,513.0260040639382,21424.7890625
2012-02-21 00:00:00,21434.310546875,21480.33984375,21221.390625,1547200000,78.0764818648583,529.0722436966935,516.2352519904892,21478.720703125
2012-02-22 00:00:00,21339.01953125,21569.740234375,21302.189453125,1377300000,73.7601413804999,526.6889361201138,518.3259888164142,21549.279296875
2012-02-23 00:00:00,21356.529296875,21428.5,21325.560546875,1125600000,66.82025466265569,505.39475071259585,515.7397411956506,21380.990234375
2012-02-24 00:00:00,21438.970703125,21468.9296875,21292.400390625,1386300000,69.00244651379772,485.01542292792874,509.59487754210625,21406.859375
2012-02-27 00:00:00,21381.66015625,21589.01953125,21076.51953125,1611000000,62.88932399230792,448.44454876127566,497.36481178594016,21217.859375
2012-02-28 00:00:00,21303.390625,21583.0703125,21273.990234375,1614400000,63.463152160408285,442.6713921633418,486.4261278614205,21568.73046875
2012-02-29 00:00:00,21643.849609375,21716.759765625,21525.91015625,1557400000,65.60835439766919,441.98616546651465,477.53813538243935,21680.080078125
2012-03-01 00:00:00,21578.189453125,21641.140625,21338.2890625,1377700000,63.65213322857723,413.10947617593774,464.65240354113905,21387.9609375
